threshold,accuracy,precision,recall,f1,tp,tn,fp,fn
0.05,0.25,0.25,1.0,0.4,67,0,201,0
0.06,0.25,0.25,1.0,0.4,67,0,201,0
0.07,0.25,0.25,1.0,0.4,67,0,201,0
0.08,0.25,0.25,1.0,0.4,67,0,201,0
0.09,0.25,0.25,1.0,0.4,67,0,201,0
0.1,0.25,0.25,1.0,0.4,67,0,201,0
0.11,0.25,0.25,1.0,0.4,67,0,201,0
0.12,0.2649,0.2538,1.0,0.4048,67,4,197,0
0.13,0.2761,0.2567,1.0,0.4085,67,7,194,0
0.14,0.2761,0.2567,1.0,0.4085,67,7,194,0
0.15,0.3172,0.268,1.0,0.4227,67,18,183,0
0.16,0.3172,0.2642,0.9701,0.4153,65,20,181,2
0.17,0.347,0.2731,0.9701,0.4262,65,28,173,2
0.18,0.3619,0.2778,0.9701,0.4319,65,32,169,2
0.19,0.3955,0.287,0.9552,0.4414,64,42,159,3
0.2,0.4254,0.2977,0.9552,0.4539,64,50,151,3
0.21,0.4552,0.3073,0.9403,0.4632,63,59,142,4
0.22,0.4851,0.3161,0.9104,0.4692,61,69,132,6
0.23,0.5112,0.3222,0.8657,0.4696,58,79,122,9
0.24,0.5485,0.3412,0.8657,0.4895,58,89,112,9
0.25,0.5784,0.3544,0.8358,0.4978,56,99,102,11
0.26,0.5933,0.3521,0.7463,0.4785,50,109,92,17
0.27,0.6157,0.3571,0.6716,0.4663,45,120,81,22
0.28,0.6343,0.3604,0.597,0.4494,40,130,71,27
0.29,0.6642,0.3838,0.5672,0.4578,38,140,61,29
0.3,0.6754,0.375,0.4478,0.4082,30,151,50,37
0.31,0.709,0.4154,0.403,0.4091,27,163,38,40
0.32,0.7015,0.3774,0.2985,0.3333,20,168,33,47
0.33,0.7015,0.3415,0.209,0.2593,14,174,27,53
0.34,0.7052,0.3,0.1343,0.1856,9,180,21,58
0.35,0.7127,0.2727,0.0896,0.1348,6,185,16,61
0.36,0.7276,0.2,0.0299,0.0519,2,193,8,65
0.37,0.7425,0.0,0.0,0.0,0,199,2,67
0.38,0.75,0.0,0.0,0.0,0,201,0,67
0.39,0.75,0.0,0.0,0.0,0,201,0,67
0.4,0.75,0.0,0.0,0.0,0,201,0,67
0.41,0.75,0.0,0.0,0.0,0,201,0,67
0.42,0.75,0.0,0.0,0.0,0,201,0,67
0.43,0.75,0.0,0.0,0.0,0,201,0,67
0.44,0.75,0.0,0.0,0.0,0,201,0,67
0.45,0.75,0.0,0.0,0.0,0,201,0,67
0.46,0.75,0.0,0.0,0.0,0,201,0,67
0.47,0.75,0.0,0.0,0.0,0,201,0,67
0.48,0.75,0.0,0.0,0.0,0,201,0,67
0.49,0.75,0.0,0.0,0.0,0,201,0,67
0.5,0.75,0.0,0.0,0.0,0,201,0,67
0.51,0.75,0.0,0.0,0.0,0,201,0,67
0.52,0.75,0.0,0.0,0.0,0,201,0,67
0.53,0.75,0.0,0.0,0.0,0,201,0,67
0.54,0.75,0.0,0.0,0.0,0,201,0,67
0.55,0.75,0.0,0.0,0.0,0,201,0,67
0.56,0.75,0.0,0.0,0.0,0,201,0,67
0.57,0.75,0.0,0.0,0.0,0,201,0,67
0.58,0.75,0.0,0.0,0.0,0,201,0,67
0.59,0.75,0.0,0.0,0.0,0,201,0,67
0.6,0.75,0.0,0.0,0.0,0,201,0,67
0.61,0.75,0.0,0.0,0.0,0,201,0,67
0.62,0.75,0.0,0.0,0.0,0,201,0,67
0.63,0.75,0.0,0.0,0.0,0,201,0,67
0.64,0.75,0.0,0.0,0.0,0,201,0,67
0.65,0.75,0.0,0.0,0.0,0,201,0,67
0.66,0.75,0.0,0.0,0.0,0,201,0,67
0.67,0.75,0.0,0.0,0.0,0,201,0,67
0.68,0.75,0.0,0.0,0.0,0,201,0,67
0.69,0.75,0.0,0.0,0.0,0,201,0,67
0.7,0.75,0.0,0.0,0.0,0,201,0,67
0.71,0.75,0.0,0.0,0.0,0,201,0,67
0.72,0.75,0.0,0.0,0.0,0,201,0,67
0.73,0.75,0.0,0.0,0.0,0,201,0,67
0.74,0.75,0.0,0.0,0.0,0,201,0,67
0.75,0.75,0.0,0.0,0.0,0,201,0,67
0.76,0.75,0.0,0.0,0.0,0,201,0,67
0.77,0.75,0.0,0.0,0.0,0,201,0,67
0.78,0.75,0.0,0.0,0.0,0,201,0,67
0.79,0.75,0.0,0.0,0.0,0,201,0,67
0.8,0.75,0.0,0.0,0.0,0,201,0,67
0.81,0.75,0.0,0.0,0.0,0,201,0,67
0.82,0.75,0.0,0.0,0.0,0,201,0,67
0.83,0.75,0.0,0.0,0.0,0,201,0,67
0.84,0.75,0.0,0.0,0.0,0,201,0,67
0.85,0.75,0.0,0.0,0.0,0,201,0,67
0.86,0.75,0.0,0.0,0.0,0,201,0,67
0.87,0.75,0.0,0.0,0.0,0,201,0,67
0.88,0.75,0.0,0.0,0.0,0,201,0,67
0.89,0.75,0.0,0.0,0.0,0,201,0,67
0.9,0.75,0.0,0.0,0.0,0,201,0,67
0.91,0.75,0.0,0.0,0.0,0,201,0,67
0.92,0.75,0.0,0.0,0.0,0,201,0,67
0.93,0.75,0.0,0.0,0.0,0,201,0,67
0.94,0.75,0.0,0.0,0.0,0,201,0,67
0.95,0.75,0.0,0.0,0.0,0,201,0,67
