dataset,text_column,vectorizer,model,best_validation_score,best_params,accuracy,precision,recall,f1
twitter,tweet,bow,lr,0.8917910447761194,{'C': 100},0.8587360594795539,0.7101449275362319,0.7313432835820896,0.7205882352941176
twitter,tweet,bow,nb,0.8619402985074627,{'alpha': np.float64(0.449530612244898)},0.8531598513011153,0.7570093457943925,0.6044776119402985,0.6721991701244814
twitter,tweet,bow,svm,0.8955223880597015,"{'C': 100, 'kernel': 'rbf'}",0.8513011152416357,0.725,0.6492537313432836,0.6850393700787402
twitter,tweet,tfidf,lr,0.8731343283582089,{'C': 10},0.8661710037174721,0.7627118644067796,0.6716417910447762,0.7142857142857143
twitter,tweet,tfidf,nb,0.8208955223880597,{'alpha': np.float64(0.10293877551020408)},0.8197026022304833,0.7761194029850746,0.3880597014925373,0.5174129353233831
twitter,tweet,tfidf,svm,0.8731343283582089,"{'C': 10, 'kernel': 'rbf'}",0.862453531598513,0.8125,0.582089552238806,0.6782608695652174
